"ID_FUNCI","ID_DEPTO_UNI","NU_CPF","NM_FUNCI","DT_NASCI","VL_SALARIO"
1,1,"10000000001","Mariana Souza",21/05/90,3500
2,2,"10000000002","Carlos Almeida",21/05/90,3800
3,3,"10000000003","Ana Beatriz Lima",21/05/90,4700
4,4,"10000000004","João Carvalho",21/05/90,3000
5,5,"10000000005","Fernanda Santos",21/05/90,3500
6,6,"10000000006","Lucas Ribeiro",21/05/90,3800
7,7,"10000000007","Juliana Costa",21/05/90,4700
8,8,"10000000008","Rafael Martins",21/05/90,3000
9,9,"10000000009","Patrícia Araujo",21/05/90,3500
10,10,"10000000010","Bruno Fernandes",21/05/90,3800
11,11,"10000000011","Amanda Rocha",21/05/90,4700
12,12,"10000000012","Felipe Mendes",21/05/90,4400
13,13,"10000000013","Gustavo Barros",21/05/90,3500
14,14,"10000000014","Paula Nogueira",21/05/90,3800
15,15,"10000000015","Thiago Teixeira",21/05/90,4700
16,16,"10000000016","Larissa Prado",21/05/90,3500
17,17,"10000000017","Diego Monteiro",21/05/90,3800
18,18,"10000000018","Camila Rezende",21/05/90,4200
19,19,"10000000019","Rodrigo Farias",21/05/90,6000
20,20,"10000000020","Isabela Moraes",21/05/90,5200
21,21,"10000000021","Mariana Souza",21/05/90,4500
22,22,"10000000022","Carlos Almeida",21/05/90,3000
23,23,"10000000023","Ana Beatriz Lima",21/05/90,4700
24,24,"10000000024","João Carvalho",21/05/90,4400
25,25,"10000000025","Fernanda Santos",21/05/90,3500
26,26,"10000000026","Lucas Ribeiro",21/05/90,3800
27,27,"10000000027","Juliana Costa",21/05/90,3000
28,28,"10000000028","Rafael Martins",21/05/90,4700
29,29,"10000000029","Patrícia Araujo",21/05/90,3500
30,30,"10000000030","Bruno Fernandes",21/05/90,3800
31,31,"10000000031","Amanda Rocha",21/05/90,6000
32,32,"10000000032","Felipe Mendes",21/05/90,4700
33,33,"10000000033","Gustavo Barros",21/05/90,3500
34,34,"10000000034","Paula Nogueira",21/05/90,3800
35,35,"10000000035","Thiago Teixeira",21/05/90,4700
36,36,"10000000036","Larissa Prado",21/05/90,3500
37,37,"10000000037","Diego Monteiro",21/05/90,3800
38,38,"10000000038","Camila Rezende",21/05/90,4700
39,39,"10000000039","Rodrigo Farias",21/05/90,4400
40,40,"10000000040","Isabela Moraes",03/11/88,3500
41,41,"10000000041","Mariana Souza",03/11/88,3800
42,42,"10000000042","Carlos Almeida",03/11/88,4700
43,43,"10000000043","Ana Beatriz Lima",03/11/88,3500
44,44,"10000000044","João Carvalho",03/11/88,3800
45,45,"10000000045","Fernanda Santos",03/11/88,4200
46,46,"10000000046","Lucas Ribeiro",03/11/88,6000
47,47,"10000000047","Juliana Costa",03/11/88,5200
48,48,"10000000048","Rafael Martins",03/11/88,4500
49,49,"10000000049","Patrícia Araujo",03/11/88,3000
50,50,"10000000050","Bruno Fernandes",03/11/88,4700
51,51,"10000000051","Amanda Rocha",03/11/88,4400
52,52,"10000000052","Felipe Mendes",03/11/88,3500
53,53,"10000000053","Gustavo Barros",03/11/88,3800
54,54,"10000000054","Paula Nogueira",03/11/88,4700
55,55,"10000000055","Thiago Teixeira",03/11/88,3500
56,56,"10000000056","Larissa Prado",03/11/88,3800
57,57,"10000000057","Diego Monteiro",03/11/88,4700
58,58,"10000000058","Camila Rezende",03/11/88,4400
59,59,"10000000059","Rodrigo Farias",03/11/88,3500
60,60,"10000000060","Isabela Moraes",03/11/88,3800
61,61,"10000000061","Mariana Souza",03/11/88,3000
62,62,"10000000062","Carlos Almeida",03/11/88,4700
63,63,"10000000063","Ana Beatriz Lima",03/11/88,4400
64,64,"10000000064","João Carvalho",03/11/88,3500
65,65,"10000000065","Fernanda Santos",03/11/88,3800
66,66,"10000000066","Lucas Ribeiro",03/11/88,3000
67,67,"10000000067","Juliana Costa",03/11/88,4700
68,68,"10000000068","Rafael Martins",03/11/88,3500
69,69,"10000000069","Patrícia Araujo",03/11/88,3800
70,70,"10000000070","Bruno Fernandes",03/11/88,4200
71,71,"10000000071","Amanda Rocha",03/11/88,6000
72,72,"10000000072","Felipe Mendes",03/11/88,3000
73,73,"10000000073","Gustavo Barros",03/11/88,4700
74,74,"10000000074","Paula Nogueira",03/11/88,3500
75,75,"10000000075","Thiago Teixeira",03/11/88,3800
76,76,"10000000076","Larissa Prado",03/11/88,4700
77,77,"10000000077","Diego Monteiro",03/11/88,3500
78,78,"10000000078","Camila Rezende",03/11/88,3800
79,79,"10000000079","Rodrigo Farias",03/11/88,4200
80,80,"10000000080","Isabela Moraes",03/11/88,6000
81,81,"10000000081","Mariana Souza",03/11/88,5200
82,82,"10000000082","Carlos Almeida",03/11/88,4500
83,83,"10000000083","Ana Beatriz Lima",03/11/88,3000
84,84,"10000000084","João Carvalho",03/11/88,4700
85,85,"10000000085","Fernanda Santos",03/11/88,4400
86,86,"10000000086","Lucas Ribeiro",18/04/95,3500
87,87,"10000000087","Juliana Costa",18/04/95,3800
88,88,"10000000088","Rafael Martins",18/04/95,4200
89,89,"10000000089","Patrícia Araujo",18/04/95,6000
90,90,"10000000090","Bruno Fernandes",18/04/95,5200
91,91,"10000000091","Amanda Rocha",18/04/95,4500
92,92,"10000000092","Felipe Mendes",18/04/95,3000
93,93,"10000000093","Gustavo Barros",18/04/95,4700
94,94,"10000000094","Paula Nogueira",18/04/95,4400
95,95,"10000000095","Thiago Teixeira",18/04/95,3500
96,96,"10000000096","Larissa Prado",18/04/95,3800
97,97,"10000000097","Diego Monteiro",18/04/95,4700
98,98,"10000000098","Camila Rezende",18/04/95,3500
99,99,"10000000099","Rodrigo Farias",18/04/95,3800
100,100,"10000000100","Isabela Moraes",18/04/95,4700
101,101,"10000000101","Mariana Souza",18/04/95,3500
102,102,"10000000102","Carlos Almeida",18/04/95,3800
103,103,"10000000103","Ana Beatriz Lima",18/04/95,4700
104,104,"10000000104","João Carvalho",18/04/95,3500
105,105,"10000000105","Fernanda Santos",18/04/95,3800
106,106,"10000000106","Lucas Ribeiro",18/04/95,4200
107,107,"10000000107","Juliana Costa",18/04/95,6000
108,108,"10000000108","Rafael Martins",18/04/95,5200
109,109,"10000000109","Patrícia Araujo",18/04/95,4500
110,110,"10000000110","Bruno Fernandes",18/04/95,3000
111,111,"10000000111","Amanda Rocha",18/04/95,4700
112,112,"10000000112","Felipe Mendes",18/04/95,4400
113,113,"10000000113","Gustavo Barros",18/04/95,3500
114,114,"10000000114","Paula Nogueira",18/04/95,3800
115,115,"10000000115","Thiago Teixeira",18/04/95,4700
116,116,"10000000116","Larissa Prado",18/04/95,3500
117,117,"10000000117","Diego Monteiro",18/04/95,3800
118,118,"10000000118","Camila Rezende",18/04/95,4700
119,119,"10000000119","Rodrigo Farias",18/04/95,3500
120,120,"10000000120","Isabela Moraes",18/04/95,3800
121,121,"10000000121","Mariana Souza",18/04/95,4200
122,122,"10000000122","Carlos Almeida",18/04/95,6000
123,123,"10000000123","Ana Beatriz Lima",18/04/95,5200
124,124,"10000000124","João Carvalho",18/04/95,4500
125,125,"10000000125","Fernanda Santos",18/04/95,3000
126,126,"10000000126","Lucas Ribeiro",18/04/95,4700
127,127,"10000000127","Juliana Costa",18/04/95,4400
128,128,"10000000128","Rafael Martins",18/04/95,3500
129,129,"10000000129","Patrícia Araujo",18/04/95,3800
130,130,"10000000130","Bruno Fernandes",18/04/95,4700
